phone_number,name
054)682-0727,(의)명성의료재단 영양병원
054)679-1510,(의)봉화해성병원
054)532-5001,(의)삼백의료재단 상주성모병원
054)532-5002,(의)삼백의료재단 상주성모병원
054)532-5003,(의)삼백의료재단 상주성모병원
054)532-5004,(의)삼백의료재단 상주성모병원
054)532-5005,(의)삼백의료재단 상주성모병원
054)532-5006,(의)삼백의료재단 상주성모병원
054)532-5007,(의)삼백의료재단 상주성모병원
054)532-5008,(의)삼백의료재단 상주성모병원
054)532-5009,(의)삼백의료재단 상주성모병원
054)532-5010,(의)삼백의료재단 상주성모병원
031)847-8600,21세기내과의원
055)248-0365,365병원
02)2297-9988,9988병원
031)589-4300,HJ매그놀리아국제병원
02)785-1068,jc빛소망 안과
031)582-1833,가평성모의원
054)733-9346,강구성모병원
02)1544-7522,강남베드로병원
064)792-3001,강남정형외과의원
02)488-0020,강동성모요양병원
033)651-6167,강릉동인병원
055)673-0101,강병원
02)2658-5114,강서연세병원
1899-2228,강서힘찬병원
033)258-2000,강원대병원
061)433-2167,강진의료원
061)433-2168,강진의료원
061)433-2169,강진의료원
032)930-8111,강화병원
055)949-3332,거창적십자병원
02)437-6152,건강한 성심의원
043)840-8200,건국대충주병원
041)837-1200,건양대학교부여병원
031)539-9114,경기도립의료원 포천병원
031)888-0114,경기도립의료원수원병원
031)674-7520,경기도의료원 안성병원
031)828-5000,경기도의료원 의정부병원
031-639-4800,경기도의료원 이천병원
031)940-9100,경기도의료원 파주병원
055)794-2900,경남도립사천노인전문병원
054)245-0138,경상북도립 포항노인전문요양병원
053)819-0700,경상북도립경산노인전문요양병원
041)732-3489,고려병원
063)560-5600,고창병원
061)835-6000,고흥종합병원
061)360-6000,곡성사랑병원
041-952-0788,공정형외과의원
041)855-4111,공주의료원
1661-6888,광명새움병원
02)2680-7114,광명성애병원
061)761-7577,광양병원
061)797-7000,광양사랑병원
043-830-5400,괴산성모병원(의료법인 대광의재단)
061)780-3300,구례병원
051)366-7122,구포부민병원
063)472-5000,군산의료원
02)2685-6612,권내과의원
031)500-1114,근로복지공단 안산병원
033)560-7100,근로복지공단 정선병원
033)580-3114,근로복지공단 태백병원
033)530-3100,근로복지공단동해병원
041)754-9365,금산365의원
051)723-0171,기장병원
042-841-4411,김광석외과의원
02)703-2226,김내과의원
042)541-4330,김봉천정형외과의원
02)3473-1356,김일중내과
063)540-5114,김제우석병원
02)831-1585,김종률내과의원
02)455-4038,김종웅내과의원
054)434-2111,김천남산종합의원
054)432-8901,김천의료원
054)432-8902,김천의료원
054)432-8903,김천의료원
054)432-8904,김천의료원
031)999-1000,김포우리병원
055)330-6017,김해중앙병원
031)421-7575,김형근예병원
061)334-8823,나주비뇨가과의원
061)330-6114,나주종합병원
031)572-3111,남양주백병원
063)620-1114,남원의료원
055)863-2201,남해병원
043)644-6670,노병연내과의원
061-840-1200,녹동현대병원
063-450-0904,누가병원
064)752-0022,늘봄재활전문병원
032)670-0001,다니엘종합병원
031)8021-2127,다보스병원 (의료법인 영문의료재단)
031)8014-1315,다인병원
061)380-9000,담양사랑병원
041)351-0200,당진성모병원
055)680-8410,대우병원
031)763-7582,더플러스병원
02)3492-3250,도봉병원
054)748-9300,동국대학교 경주병원
031-863-0550,동두천 중앙성모병원
031)210-0114,동수원병원
054)550-7700,동춘의료재단 문경제일병원
033)532-3006,동해동인병원
052)235-5858,마디정형외과의원
055)249-1000,마산의료원
055)736-1004,맑은샘병원
055)903-9000,메가병원
032)656-0371,메디홀스요양병원
02)2604-7551,메디힐병원
055)259-7700,메트로병원
061)260-6500,목포시의료원
061)276-7370,목포이비인후과
061)450-3000,무안종합병원
063)320-8314,무주보건의료원
031)954-1400,무척조은병원
064)796-0160,문의원
053)721-8575,바로본병원
033)762-0100,바른요양병원
02)332-5460,박상수내과의원
031)652-2121,박애병원
031)996-3722,박원종내과의원
033)643-0080,박정빈외과의원
055)749-0665,반도병원
02)939-3075,밝은미래안과
041)733-2191,백제종합병원
061)859-5000,벌교삼호병원
041)930-5114,보령아산병원
061)850-3114,보성아산병원
043)544-1500,보은한양병원
055)573-9977,복음의원
02)3156-5020,본서부병원
032)464-9101,봄날요양병원
051)0633-1123,부산성소병원
051)559-0120,부산힘찬병원
032)509-5555,부평세림병원
02)880-0114,사랑의병원
02)935-1365,삼성드림이비인후과
054)474-8575,삼성연합의원
054-861-5353,삼성연합의원(의성)
02)2231-4154,삼성푸른의원
033)572-1141,삼척의료원
055)580-5800,새롬재활요양병원
02)930-5858,새서울병원
055)646-6000,새통영병원
