origin(province),origin(city),terminal(province),terminal(city),traffic
경기도,화성시,서울,종로구,1341
경기도,화성시,서울,중구,4310
경기도,화성시,서울,용산구,998
경기도,화성시,서울,성동구,304
경기도,화성시,서울,광진구,2968
경기도,화성시,서울,동대문구,956
경기도,화성시,서울,중랑구,1504
경기도,화성시,서울,성북구,3597
경기도,화성시,서울,강북구,156
경기도,화성시,서울,도봉구,204
경기도,화성시,서울,노원구,1015
경기도,화성시,서울,은평구,1373
경기도,화성시,서울,서대문구,365
경기도,화성시,서울,마포구,1682
경기도,화성시,서울,양천구,1427
경기도,화성시,서울,강서구,583
경기도,화성시,서울,구로구,3908
경기도,화성시,서울,금천구,5767
경기도,화성시,서울,영등포구,2579
경기도,화성시,서울,동작구,1264
경기도,화성시,서울,관악구,2309
경기도,화성시,서울,서초구,16703
경기도,화성시,서울,강남구,9710
경기도,화성시,서울,송파구,2367
경기도,화성시,서울,강동구,857
경기도,화성시,인천,중구,693
경기도,화성시,인천,동구,217
경기도,화성시,인천,미추홀구,2947
경기도,화성시,인천,연수구,3246
경기도,화성시,인천,남동구,4540
경기도,화성시,인천,부평구,2336
경기도,화성시,인천,계양구,1407
경기도,화성시,인천,서구,2025
경기도,화성시,인천,옹진군,5
경기도,화성시,경기도,수원시,161667
경기도,화성시,경기도,성남시,9688
경기도,화성시,경기도,의정부시,357
경기도,화성시,경기도,안양시,10144
경기도,화성시,경기도,부천시,2708
경기도,화성시,경기도,광명시,2328
경기도,화성시,경기도,평택시,20942
경기도,화성시,경기도,안산시,30690
경기도,화성시,경기도,고양시,1475
경기도,화성시,경기도,과천시,2059
경기도,화성시,경기도,구리시,1037
경기도,화성시,경기도,남양주시,849
경기도,화성시,경기도,오산시,42681
경기도,화성시,경기도,시흥시,8836
경기도,화성시,경기도,군포시,5648
경기도,화성시,경기도,의왕시,3831
경기도,화성시,경기도,하남시,315
경기도,화성시,경기도,용인시,38427
경기도,화성시,경기도,파주시,550
경기도,화성시,경기도,이천시,996
경기도,화성시,경기도,안성시,4347
경기도,화성시,경기도,김포시,899
경기도,화성시,경기도,화성시,1176646
경기도,화성시,경기도,광주시,2016
경기도,화성시,경기도,양주시,177
경기도,화성시,경기도,포천시,1
경기도,화성시,경기도,여주시,185
경기도,화성시,경기도,연천군,29
경기도,화성시,경기도,양평군,937
경기도,하남시,서울,종로구,2860
경기도,하남시,서울,중구,2135
경기도,하남시,서울,용산구,743
경기도,하남시,서울,성동구,800
경기도,하남시,서울,광진구,7026
경기도,하남시,서울,동대문구,5347
경기도,하남시,서울,중랑구,3640
경기도,하남시,서울,성북구,2678
경기도,하남시,서울,강북구,2468
경기도,하남시,서울,도봉구,698
경기도,하남시,서울,노원구,3248
경기도,하남시,서울,은평구,853
경기도,하남시,서울,서대문구,226
경기도,하남시,서울,마포구,534
경기도,하남시,서울,양천구,141
경기도,하남시,서울,강서구,294
경기도,하남시,서울,구로구,37
경기도,하남시,서울,금천구,539
경기도,하남시,서울,영등포구,1190
경기도,하남시,서울,동작구,773
경기도,하남시,서울,관악구,360
경기도,하남시,서울,서초구,4049
경기도,하남시,서울,강남구,10048
경기도,하남시,서울,송파구,22025
경기도,하남시,서울,강동구,47927
경기도,하남시,인천,중구,42
경기도,하남시,인천,동구,348
경기도,하남시,인천,미추홀구,118
경기도,하남시,인천,남동구,8
경기도,하남시,인천,부평구,17
경기도,하남시,인천,계양구,67
경기도,하남시,인천,서구,1353
경기도,하남시,인천,옹진군,13
경기도,하남시,경기도,수원시,512
경기도,하남시,경기도,성남시,8200
경기도,하남시,경기도,의정부시,2650
경기도,하남시,경기도,안양시,808
경기도,하남시,경기도,부천시,41
경기도,하남시,경기도,광명시,84
경기도,하남시,경기도,평택시,2819
경기도,하남시,경기도,동두천시,56
경기도,하남시,경기도,안산시,508
경기도,하남시,경기도,고양시,2762
경기도,하남시,경기도,과천시,410
경기도,하남시,경기도,구리시,3576
경기도,하남시,경기도,남양주시,16562
경기도,하남시,경기도,오산시,289
경기도,하남시,경기도,시흥시,148
경기도,하남시,경기도,군포시,262
경기도,하남시,경기도,의왕시,284
경기도,하남시,경기도,하남시,256551
경기도,하남시,경기도,용인시,987
경기도,하남시,경기도,파주시,955
경기도,하남시,경기도,이천시,881
경기도,하남시,경기도,안성시,453
경기도,하남시,경기도,김포시,10
경기도,하남시,경기도,화성시,333
경기도,하남시,경기도,광주시,9093
경기도,하남시,경기도,양주시,154
경기도,하남시,경기도,포천시,974
경기도,하남시,경기도,여주시,137
경기도,하남시,경기도,양평군,1273
경기도,포천시,서울,종로구,104
경기도,포천시,서울,중구,239
경기도,포천시,서울,성동구,838
경기도,포천시,서울,광진구,245
경기도,포천시,서울,동대문구,384
경기도,포천시,서울,중랑구,2288
경기도,포천시,서울,성북구,2243
경기도,포천시,서울,강북구,3974
경기도,포천시,서울,도봉구,1458
경기도,포천시,서울,노원구,5833
경기도,포천시,서울,서대문구,12
경기도,포천시,서울,마포구,19
경기도,포천시,서울,강서구,90
경기도,포천시,서울,구로구,11
경기도,포천시,서울,금천구,11
경기도,포천시,서울,영등포구,800
경기도,포천시,서울,동작구,3
경기도,포천시,서울,서초구,120
경기도,포천시,서울,강남구,283
경기도,포천시,서울,송파구,768
경기도,포천시,서울,강동구,1195
경기도,포천시,인천,미추홀구,56
경기도,포천시,인천,남동구,25
경기도,포천시,인천,부평구,295
경기도,포천시,인천,계양구,159
경기도,포천시,인천,서구,1
경기도,포천시,경기도,수원시,1765
경기도,포천시,경기도,성남시,156
경기도,포천시,경기도,의정부시,15140
경기도,포천시,경기도,안양시,15
경기도,포천시,경기도,광명시,193
경기도,포천시,경기도,평택시,945
경기도,포천시,경기도,동두천시,1428
경기도,포천시,경기도,안산시,21
경기도,포천시,경기도,고양시,3276
경기도,포천시,경기도,구리시,157
경기도,포천시,경기도,남양주시,7619
경기도,포천시,경기도,오산시,1036
