확진자수,지역코드,초등학교수,유치원수,대학교수,학원비율,고령인구비율,독거노인비율,양로원수
69,10010,33,38,0,4.18,13.17,4.3,3088
17,10020,27,32,0,1.54,14.55,5.4,1023
8,10030,14,21,0,0.67,19.49,8.5,628
31,10040,36,56,1,1.17,14.39,5.7,1080
52,10050,22,33,1,0.89,15.12,4.9,909
11,10060,22,33,3,1.16,13.75,4.8,723
34,10070,26,34,3,1,16.21,5.7,741
13,10080,18,19,0,0.96,16.15,6.7,475
25,10090,42,66,6,1.39,15.4,7.4,952
13,10100,23,26,1,0.95,17.89,7.2,485
33,10110,21,31,4,1.06,17.26,6.7,832
37,10120,21,34,3,1.17,15.85,5.2,762
24,10130,22,24,2,1.83,14.05,4.9,929
22,10140,19,25,6,1.12,16.77,6.2,587
39,10150,24,27,1,2.6,13.39,3.8,1465
22,10160,21,30,2,0.97,14.76,5.3,593
27,10170,29,49,6,1.02,16.15,6,729
41,10180,40,51,1,1.65,13.1,4.1,1527
24,10190,30,43,0,2.26,13.55,5.5,816
25,10200,23,39,0,1.21,15.6,5.8,1001
31,10210,15,13,1,0.68,16.87,6.5,435
28,10220,31,44,1,1.09,17,6.5,874
17,10230,13,17,3,1.71,18.27,6.8,668
8,10240,12,14,2,0.94,18.42,7.4,728
17,10250,23,31,1,0.7,16.65,6.9,689
4,11010,17,21,0,1.43,11.84,5,147
6,11020,22,28,4,1.64,19.8,8.4,466
1,11030,21,35,0,1.31,15.45,7.4,229
6,11040,21,27,4,1.24,19.13,7.9,475
1,11050,7,9,0,0.83,25.42,13.8,239
36,11060,22,31,0,1.98,17.53,7.7,608
14,11070,32,43,3,1.62,19.01,8.7,986
8,11080,27,37,1,1.35,16.04,8.4,465
4,11090,21,31,3,0.78,17,8.1,317
11,11100,26,42,2,1.34,17.76,8.1,541
6,11110,11,9,0,1.02,24.36,12.3,235
11,11120,10,22,0,1.56,20.4,8.2,395
4,11130,16,18,2,1.39,18.27,7.8,450
20,11160,33,39,1,1.63,16.53,7.9,814
8,12010,11,15,2,0.85,22.49,10.4,345
4,12020,55,78,3,1.72,13.56,6.5,1064
1,12030,32,47,1,1.51,12.11,5.4,361
1,12040,32,58,0,1.15,18.81,9,649
2,12060,17,23,0,0.83,21.29,10.1,374
2,12070,34,49,1,2.28,15,6.9,948
3,12080,10,12,0,4.03,20.29,9.6,594
1,14010,20,19,1,0.68,31.97,13.9,107
8,14020,26,36,2,1.25,11.81,5.2,477
12,14030,29,43,2,0.9,16.29,6.8,643
13,14040,38,77,0,1.39,12.68,5.5,955
2,14050,8,12,1,0.68,21.62,10.5,122
17,14060,42,66,0,1.27,13.83,6.2,847
11,14070,44,80,0,1.4,10.02,3.9,670
19,14080,23,43,1,1.77,9.48,4,467
5,14100,14,17,0,0.8,14.14,6.7,177
3,15010,21,29,2,1.35,14.97,6.9,310
2,15020,23,35,4,0.93,18.16,8.1,447
15,15030,39,78,3,1.81,12.05,4.9,1123
19,15040,38,75,5,1.54,9.04,3.3,586
1,15050,27,43,1,1.43,18.39,8.2,518
18,16010,30,44,1,3.23,11.42,4.8,765
6,16020,16,25,1,1.73,11.68,4.4,242
6,16030,22,45,0,1.73,7.69,3.4,211
4,16040,30,49,2,1.74,13.94,6.7,260
9,16050,21,37,0,2.03,14.15,6.5,323
46,17000,48,60,3,1.78,9.48,3.8,491
1,20010,13,14,0,0.88,25.09,12,114
32,20020,84,171,2,1.88,12.82,5.2,1608
6,20030,4,7,0,1.36,13.98,5.7,92
13,20040,25,48,0,1.73,13.25,5.8,530
16,20050,27,42,2,1.09,12.65,4,406
6,20060,16,30,0,1.94,12.88,5.1,418
32,20070,26,49,1,1.58,12.42,5.4,429
17,20080,43,90,2,1.74,12.1,4.4,604
31,20090,64,110,1,1.38,13.44,5,912
5,20100,11,19,1,1.03,19.56,9.7,140
76,20110,64,124,4,1.51,12.77,5.4,1432
128,20120,72,127,3,2.08,13.52,5.6,2095
