기점(광역),기점(기초),거점(위도),거점(경도),종점(광역),종점(기초),종점(위도),종점(경도),총목적
경기,성남시,37.42,127.126703,서울,종로구,37.572999,126.979189,"18,665"
경기,성남시,37.42,127.126703,서울,중구,37.563988,126.99753,"15,473"
경기,성남시,37.42,127.126703,서울,용산구,37.532768,126.990021,"5,090"
경기,성남시,37.42,127.126703,서울,성동구,37.563277,127.036647,"9,346"
경기,성남시,37.42,127.126703,서울,광진구,37.538712,127.082366,"10,901"
경기,성남시,37.42,127.126703,서울,동대문구,37.574552,127.039721,"6,296"
경기,성남시,37.42,127.126703,서울,중랑구,37.606832,127.092656,"3,057"
경기,성남시,37.42,127.126703,서울,성북구,37.589562,127.0167,"5,144"
경기,성남시,37.42,127.126703,서울,강북구,37.639938,127.025508,"1,073"
경기,성남시,37.42,127.126703,서울,도봉구,37.668952,127.047082,"3,043"
경기,성남시,37.42,127.126703,서울,노원구,37.654259,127.056294,"9,202"
경기,성남시,37.42,127.126703,서울,은평구,37.603481,126.929173,"2,181"
경기,성남시,37.42,127.126703,서울,서대문구,37.579428,126.936771,"5,762"
경기,성남시,37.42,127.126703,서울,마포구,37.566283,126.901644,"5,241"
경기,성남시,37.42,127.126703,서울,양천구,37.517189,126.866618,"2,613"
경기,성남시,37.42,127.126703,서울,강서구,37.551166,126.849506,"6,157"
경기,성남시,37.42,127.126703,서울,구로구,37.495632,126.88765,"6,383"
경기,성남시,37.42,127.126703,서울,금천구,37.456852,126.895229,"4,634"
경기,성남시,37.42,127.126703,서울,영등포구,37.526505,126.89619,"5,711"
경기,성남시,37.42,127.126703,서울,동작구,37.510571,126.963604,"9,265"
경기,성남시,37.42,127.126703,서울,관악구,37.47829,126.951502,"9,605"
경기,성남시,37.42,127.126703,서울,서초구,37.483804,127.032693,"57,803"
경기,성남시,37.42,127.126703,서울,강남구,37.518421,127.047222,"98,448"
경기,성남시,37.42,127.126703,서울,송파구,37.51462,127.106141,"87,470"
경기,성남시,37.42,127.126703,서울,강동구,37.530492,127.123837,"17,477"
경기,성남시,37.42,127.126703,인천,중구,37.563988,126.99753,"4,252"
경기,성남시,37.42,127.126703,인천,동구,37.474101,126.643266,408
경기,성남시,37.42,127.126703,인천,남구,37.463572,126.65027,"1,366"
경기,성남시,37.42,127.126703,인천,연수구,37.410262,126.678309,"3,531"
경기,성남시,37.42,127.126703,인천,남동구,37.44727,126.731429,"1,149"
경기,성남시,37.42,127.126703,인천,부평구,37.507031,126.721804,"2,556"
경기,성남시,37.42,127.126703,인천,계양구,37.537537,126.737712,630
경기,성남시,37.42,127.126703,인천,서구,37.545557,126.6759,393
경기,성남시,37.42,127.126703,인천,강화군,37.747065,126.487777,43
경기,성남시,37.42,127.126703,인천,옹진군,37.446777,126.636747,4
경기,성남시,37.42,127.126703,경기,수원시,37.263376,127.028613,"42,519"
경기,성남시,37.42,127.126703,경기,성남시,37.42,127.126703,"1,524,993"
경기,성남시,37.42,127.126703,경기,의정부시,37.738058,127.033716,"1,695"
경기,성남시,37.42,127.126703,경기,안양시,37.394258,126.956752,"23,690"
경기,성남시,37.42,127.126703,경기,부천시,37.503393,126.766049,"2,805"
경기,성남시,37.42,127.126703,경기,광명시,37.478541,126.864648,"2,385"
경기,성남시,37.42,127.126703,경기,평택시,36.992293,127.112709,"1,997"
경기,성남시,37.42,127.126703,경기,동두천시,37.903568,127.060347,234
경기,성남시,37.42,127.126703,경기,안산시,37.321863,126.83092,"5,076"
경기,성남시,37.42,127.126703,경기,고양시,37.658363,126.831961,"7,109"
경기,성남시,37.42,127.126703,경기,과천시,37.42915,126.987616,"2,891"
경기,성남시,37.42,127.126703,경기,구리시,37.594267,127.129549,"6,178"
경기,성남시,37.42,127.126703,경기,남양주시,37.635791,127.216552,"8,211"
경기,성남시,37.42,127.126703,경기,오산시,37.149854,127.077461,"1,354"
경기,성남시,37.42,127.126703,경기,시흥시,37.38011,126.803009,"1,811"
경기,성남시,37.42,127.126703,경기,군포시,37.361653,126.935206,"4,079"
경기,성남시,37.42,127.126703,경기,의왕시,37.344649,126.968299,"8,665"
경기,성남시,37.42,127.126703,경기,하남시,37.53926,127.214944,"7,664"
경기,성남시,37.42,127.126703,경기,용인시,37.240985,127.17805,"146,025"
경기,성남시,37.42,127.126703,경기,파주시,37.759818,126.7799,982
경기,성남시,37.42,127.126703,경기,이천시,37.272169,127.434991,"5,371"
경기,성남시,37.42,127.126703,경기,안성시,37.008008,127.279763,"1,276"
경기,성남시,37.42,127.126703,경기,김포시,37.615238,126.715601,396
경기,성남시,37.42,127.126703,경기,화성시,37.199536,126.83133,"9,091"
경기,성남시,37.42,127.126703,경기,광주시,37.429322,127.255153,"49,635"
경기,성남시,37.42,127.126703,경기,양주시,37.785253,127.045823,357
경기,성남시,37.42,127.126703,경기,포천시,37.894881,127.200346,107
경기,성남시,37.42,127.126703,경기,여주시,37.298209,127.637351,"1,241"
경기,성남시,37.42,127.126703,경기,가평군,37.831297,127.509555,20
경기,성남시,37.42,127.126703,경기,양평군,37.491744,127.48757,"2,352"
